Date : 2022-04-22 20:04:12
Directory : d:\系统默认\桌面\vue3-ts-cms
Total : 2973 files,  152811 codes, 4978 comments, 11886 blanks, all 169675 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Vue                |      1,895 |    108,485 |      1,332 |      8,938 |    118,755 |
| TypeScript         |      1,002 |     27,704 |      3,113 |      2,844 |     33,661 |
| JSON               |         18 |     15,929 |        103 |         18 |     16,050 |
| JavaScript         |         45 |        515 |        399 |         62 |        976 |
| XML                |          2 |         83 |          1 |          1 |         85 |
| JSON with Comments |          1 |         29 |         29 |          1 |         59 |
| Markdown           |          1 |         19 |          0 |         11 |         30 |
| HTML               |          1 |         16 |          1 |          1 |         18 |
| Less               |          5 |         14 |          0 |          5 |         19 |
| CSS                |          2 |         10 |          0 |          2 |         12 |
| Ignore             |          1 |          7 |          0 |          3 |         10 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                    |      2,973 |    152,811 |      4,978 |     11,886 |    169,675 |
| .history                                                                                             |      2,860 |    134,003 |      4,684 |     11,513 |    150,200 |
| .history\src                                                                                         |      2,804 |    133,025 |      4,197 |     11,441 |    148,663 |
| .history\src\assets                                                                                  |          5 |         13 |          0 |          5 |         18 |
| .history\src\assets\css                                                                              |          5 |         13 |          0 |          5 |         18 |
| .history\src\base-ui                                                                                 |        363 |     17,621 |        284 |      1,284 |     19,189 |
| .history\src\base-ui\breadcrumb                                                                      |         27 |        436 |          0 |         29 |        465 |
| .history\src\base-ui\breadcrumb\src                                                                  |         18 |        416 |          0 |         20 |        436 |
| .history\src\base-ui\breadcrumb\types                                                                |          4 |         12 |          0 |          4 |         16 |
| .history\src\base-ui\echart                                                                          |         79 |      1,215 |          0 |        169 |      1,384 |
| .history\src\base-ui\echart\hooks                                                                    |         21 |        218 |          0 |         40 |        258 |
| .history\src\base-ui\echart\src                                                                      |         55 |        994 |          0 |        126 |      1,120 |
| .history\src\base-ui\form                                                                            |        148 |      8,591 |        284 |        591 |      9,466 |
| .history\src\base-ui\form\src                                                                        |        129 |      8,457 |        284 |        572 |      9,313 |
| .history\src\base-ui\form\types                                                                      |         14 |        127 |          0 |         14 |        141 |
| .history\src\base-ui\table                                                                           |        109 |      7,379 |          0 |        495 |      7,874 |
| .history\src\base-ui\table\src                                                                       |        107 |      7,377 |          0 |        493 |      7,870 |
| .history\src\components                                                                              |        664 |     41,545 |        734 |      2,602 |     44,881 |
| .history\src\components\nav-header                                                                   |        199 |      8,695 |         48 |        563 |      9,306 |
| .history\src\components\nav-header\src                                                               |        196 |      8,691 |         48 |        558 |      9,297 |
| .history\src\components\nav-menu                                                                     |         52 |      5,579 |        234 |        556 |      6,369 |
| .history\src\components\nav-menu\src                                                                 |         46 |      5,571 |        234 |        549 |      6,354 |
| .history\src\components\page-content                                                                 |        144 |     15,116 |        367 |        683 |     16,166 |
| .history\src\components\page-content\src                                                             |        139 |     15,110 |        367 |        678 |     16,155 |
| .history\src\components\page-dialog                                                                  |          8 |        162 |          0 |         18 |        180 |
| .history\src\components\page-dialog\src                                                              |          8 |        162 |          0 |         18 |        180 |
| .history\src\components\page-echarts                                                                 |         99 |      3,385 |          3 |        224 |      3,612 |
| .history\src\components\page-echarts\src                                                             |         86 |      3,355 |          3 |        208 |      3,566 |
| .history\src\components\page-echarts\types                                                           |          6 |         11 |          0 |          6 |         17 |
| .history\src\components\page-modal                                                                   |         74 |      4,437 |          0 |        260 |      4,697 |
| .history\src\components\page-modal\src                                                               |         72 |      4,435 |          0 |        258 |      4,693 |
| .history\src\components\page-search                                                                  |         88 |      4,171 |         82 |        298 |      4,551 |
| .history\src\components\page-search\src                                                              |         82 |      4,162 |         82 |        292 |      4,536 |
| .history\src\global                                                                                  |         50 |      2,190 |         11 |        128 |      2,329 |
| .history\src\hooks                                                                                   |        105 |      1,517 |        141 |        177 |      1,835 |
| .history\src\router                                                                                  |         37 |      1,215 |          0 |         67 |      1,282 |
| .history\src\router\main                                                                             |          3 |         21 |          0 |          3 |         24 |
| .history\src\router\main\product                                                                     |          3 |         21 |          0 |          3 |         24 |
| .history\src\router\main\product\category                                                            |          3 |         21 |          0 |          3 |         24 |
| .history\src\service                                                                                 |        138 |      1,932 |        521 |        422 |      2,875 |
| .history\src\service\login                                                                           |         16 |        340 |         60 |         42 |        442 |
